avgIDF,maxIDF,stdIDF,avgICTF,maxICTF,stdICTF,avgEntropy,maxEntropy,medianEntropy,stdEntropy,QS,SCS,sumSCQ,avgSCQ,maxSCQ,avgVAR,sumVAR,maxVAR,avgPMI,maxPMI,HS,PA,qclass
0.456622,1,0.228246,0.055738,1,0.179737,-0.106543,0,0,0.178485,0.234118,1844.616718,258.923832,2.563602,4.106413,2.579073,260.486412,101.480688,0.002264,11.430725,0.389683,83.962927,0
0.412542,1,0.242443,0.07112,1,0.246478,-0.010079,0,0,0.079364,0.09743,20981.215381,148.566301,2.396231,3.710561,0.307879,19.08848,19.08848,0,0,0.475767,5891.048695,0
0.425888,1,0.254159,0.080094,1,0.260576,-0.012638,0,0,0.093727,0.154532,26650.002448,130.352012,2.370037,3.710561,0.032914,1.810255,1.810255,0,0,0.471189,3863.954964,1
0.435027,0.861698,0.205509,0.01973,0.166667,0.043684,0,0,0,0,0,1463.08302,64.084234,2.670176,3.891903,0,0,0,0,0,0.480269,389.699943,0
0.394908,0.79744,0.177743,0.008472,0.055556,0.014365,0,0,0,0,0,941.249111,59.302211,2.578357,3.737867,0,0,0,0,0,0.528757,1298.321072,1
0.418858,1,0.232085,0.022013,1,0.126779,-0.030336,0,0,0.126042,0.20414,1123.656322,165.747382,2.673345,4.232863,6.36642,394.718059,270.3682,0.010209,9.686326,0.479942,117.363456,0
0.492248,1,0.250965,0.045966,1,0.140045,-0.002989,0,0,0.032609,0.016417,2210.028226,311.033835,2.61373,4.367297,0.303015,36.058743,36.058743,0,0,0.475303,1332.567879,0
0.399338,0.91273,0.296593,0.036525,0.5,0.11649,0,0,0,0,0,5223.209332,38.411039,2.133947,3.461219,0,0,0,0,0,0.49093,657.931138,0
0.380216,0.91273,0.278707,0.03165,0.5,0.090412,0,0,0,0,0,4338.386173,93.424052,2.224382,4.411916,0,0,0,0,0,0.498301,1465.561729,1
0.494851,0.91273,0.220209,0.042621,0.5,0.115085,-0.076846,0,0,0.190479,0.207709,6977.31374,151.444857,2.753543,4.106413,1.385253,76.188888,75.29666,0.009014,13.38652,0.466425,422.467246,0
0.388988,0.79744,0.197599,0.013564,0.2,0.036809,-0.269128,0,-0.300715,0.266521,0.532477,1440.505664,167.03843,2.530885,3.848612,8.818145,581.997544,84.707807,0.058473,16.106973,0.52011,1203.950549,0
0.376401,0.677433,0.191713,0.004446,0.018519,0.005981,-0.021555,0,0,0.080047,0.014989,903.064098,71.702826,2.560815,3.769475,0.99412,27.835363,26.393181,0,0,0.488596,25.025491,1
0.495461,1,0.249269,0.055359,0.5,0.123548,0,0,0,0,0,2993.303746,232.791494,2.558148,4.426058,0,0,0,0,0,0.505569,285.585194,1
0.45999,1,0.229527,0.05246,1,0.164119,0,0,0,0,0,1743.181812,340.928735,2.544244,4.106413,0,0,0,0,0,0.371247,2033.841816,0
0.415987,1,0.226524,0.022048,1,0.127831,0,0,0,0,0.000357,1162.522962,163.152155,2.674625,4.232863,0,0,0,0,0,0.483593,485.567908,1
0.353958,0.91273,0.263753,0.021841,0.5,0.088038,-0.397018,0,-0.325635,0.365836,0.995004,2952.870504,69.746795,2.179587,3.461219,8.426068,269.63418,63.598129,0.296234,10.483123,0.541764,3685.256499,1
0.427646,0.861698,0.224544,0.018107,0.2,0.051646,-0.113006,0,0,0.168234,0.046752,4164.682914,74.049289,2.644617,4.068446,3.758276,105.231717,27.46835,0.024352,9.205,0.579923,468.045183,0
0.45408,0.91273,0.265955,0.083971,0.5,0.176308,0,0,0,0,0,6801.000143,33.949709,2.263314,3.400936,0,0,0,0,0,0.534405,5.552197,0
0.435021,0.91273,0.187682,0.007339,0.047619,0.011761,-0.259984,0,-0.296409,0.256468,0.400071,840.961701,117.555892,2.79895,4.106413,7.841911,329.360257,79.880264,0.048608,12.311962,0.509098,2734.933151,0
0.473337,1,0.216959,0.033226,1,0.123453,-0.007961,0,0,0.066603,0.107423,2879.8101,185.434295,2.649061,3.873616,0.491099,34.376924,34.376924,0,0,0.448687,1410.479727,0
0.495174,1,0.257155,0.116598,1,0.312166,-0.053103,0,0,0.13657,0.103854,14851.465413,72.274988,2.58125,4.106413,1.97264,55.233913,34.041559,0,0,0.506294,171.589919,0
0.395323,0.861698,0.205562,0.0153,0.166667,0.038985,-0.007512,0,0,0.041138,0.003212,1387.137218,156.012529,2.557582,4.068446,0.254735,15.538822,7.769411,0,0,0.470862,195.805503,0
0.3806,0.723576,0.211886,0.005034,0.02,0.007656,0,0,0,0,0,1007.934288,15.291196,2.548533,3.554223,0,0,0,0,0,0.427554,590.183432,0
